Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Ryanair,2022-02-06,TLV,FCO,,19:40,22:25,3h 45m,nonstop,143
Ryanair,2022-02-06,TLV,FCO,,19:40,22:25,3h 45m,nonstop,181
Pegasus Airlines,2022-02-06,TLV,FCO,SAW,5:30,11:30,7h 00m,1 stop,250
Wizz Air,2022-02-06,TLV,FCO,OTP,9:25,15:00,6h 35m,1 stop,281
easyJet,2022-02-06,TLV,NAP,BER,13:10,21:45,9h 35m,1 stop,370
Pegasus Airlines,2022-02-06,TLV,FCO,SAW,5:30,11:30,7h 00m,1 stop,385
EL AL,2022-02-06,TLV,FCO,,6:10,9:00,3h 50m,nonstop,411
easyJet,2022-02-06,TLV,NAP,MXP,12:55,19:05,7h 10m,1 stop,505
easyJet,2022-02-06,TLV,NAP,MXP,12:55,20:00,8h 05m,1 stop,511
Turkish Airlines,2022-02-06,TLV,FCO,IST,10:20,17:45,8h 25m,1 stop,567
Turkish Airlines,2022-02-06,TLV,FCO,IST,1:00,9:55,9h 55m,1 stop,567
Turkish Airlines,2022-02-06,TLV,VCE,IST,1:00,9:20,9h 20m,1 stop,618
Air France,2022-02-06,TLV,VCE,CDG,15:55,22:55,8h 00m,1 stop,761
Air France,2022-02-06,TLV,FCO,CDG,15:55,23:25,8h 30m,1 stop,761
Iberia,2022-02-06,TLV,FCO,MAD,6:00,14:30,9h 30m,1 stop,824
easyJet,2022-02-06,TLV,FCO,GVA,13:05,20:20,8h 15m,1 stop,955
Lufthansa,2022-02-06,TLV,NAP,FRA,5:20,13:20,9h 00m,1 stop,"1,382"
Lufthansa,2022-02-06,TLV,FCO,FRA,5:20,12:40,8h 20m,1 stop,"1,385"
Lufthansa,2022-02-06,TLV,VCE,FRA,5:20,14:05,9h 45m,1 stop,"1,385"
SWISS,2022-02-06,TLV,VCE,ZRH,7:35,14:00,7h 25m,1 stop,"1,416"
Ryanair,2022-02-06,TLV,NAP,BGY,11:20,18:00,7h 40m,1 stop,"1,460"
Lufthansa,2022-02-06,TLV,VCE,"MUC, FRA",7:00,14:05,8h 05m,2 stops,"1,535"
Lufthansa,2022-02-06,TLV,FCO,MUC,7:00,12:35,6h 35m,1 stop,"2,442"
Ryanair,2022-02-06,TLV,FCO,,19:40,22:25,3h 45m,nonstop,146
Ryanair,2022-02-06,TLV,FCO,,19:40,22:25,3h 45m,nonstop,143
Ryanair,2022-02-06,TLV,FCO,,19:40,22:25,3h 45m,nonstop,181
EL AL,2022-02-06,TLV,FCO,,6:10,9:00,3h 50m,nonstop,411
Pegasus Airlines,2022-02-06,TLV,FCO,SAW,5:30,11:30,7h 00m,1 stop,250
Wizz Air,2022-02-06,TLV,FCO,OTP,9:25,15:00,6h 35m,1 stop,281
Pegasus Airlines,2022-02-06,TLV,FCO,SAW,5:30,11:30,7h 00m,1 stop,385
easyJet,2022-02-06,TLV,NAP,BER,13:10,21:45,9h 35m,1 stop,370
easyJet,2022-02-06,TLV,NAP,MXP,12:55,19:05,7h 10m,1 stop,505
easyJet,2022-02-06,TLV,NAP,MXP,12:55,20:00,8h 05m,1 stop,511
Turkish Airlines,2022-02-06,TLV,FCO,IST,10:20,17:45,8h 25m,1 stop,567
Turkish Airlines,2022-02-06,TLV,FCO,IST,1:00,9:55,9h 55m,1 stop,567
Turkish Airlines,2022-02-06,TLV,VCE,IST,1:00,9:20,9h 20m,1 stop,618
